"Lon"	"Lat"	"Site"	"Detected"	"Bathy"	"gBathy"	"Iso200"	"Beaufort"	"Subj"	"Effort_km"	"Year"
-5.3	47.1	102	0	-148.48	0.174074682854116	4470.44246915071	5	0	7.28026769610213	2012
-5.3	47.3	103	1	-123.191489361702	0.610468431039059	5503.67572748427	5	0	22.3405790768429	2012
-5.3	47.5	104	0	-244.28813559322	2.1369374273187	1488.76832151041	5	1	19.5999436279173	2012
-5.1	46.5	126	0	-1152.91666666667	4.00471391280492	18580.4669858294	5	0	1.39913716328155	2012
-5.1	46.7	127	0	-821.592920353982	6.1532288478539	5636.53272536292	3	1	29.828955303654	2012
-5.1	46.9	128	0	-221.595238095238	1.62356499014866	2719.75050665794	3	1	25.4723348479735	2012
-5.1	47.1	129	0	-147.178947368421	0.153127850160787	17614.542718096	5	0	14.7238849005346	2012
-5.1	47.5	131	0	-152.441860465116	0.56431081223973	5148.59655264159	4	0	6.11944429208033	2012
-5.1	47.7	132	0	-116.48	0.15552492869397	14014.9812857463	4	1	17.7503439983527	2012
-4.9	46.3	152	0	-2235.64285714286	5.92711394173758	22647.9902702702	2	1	6.55186077540566	2012
-4.9	46.5	153	0	-824.924050632911	3.96509473572803	11950.3414601907	5	0	11.6515551007839	2012
-4.9	46.7	154	0	-351.380952380952	3.13477499286334	4437.25220155163	5	0	8.05102406373092	2012
-4.9	46.9	155	0	-155.592233009709	0.374941947137557	10852.5845514422	3	1	22.2675853135577	2012
-4.9	47.3	157	0	-116.827160493827	0.29988629731959	24893.607554988	5	1	27.142293125303	2012
-4.9	47.5	158	0	-123.427419354839	0.146675338232589	17955.8833003958	3	0	24.3624595222501	2012
-4.9	47.7	159	0	-101.266666666667	0.228595312001805	27282.5302675865	4	1	11.1555732940975	2012
-4.9	47.9	160	0	-56.5769230769231	0.250860889227344	40324.9234680279	4	1	11.4429600264232	2012
-4.7	46.3	179	0	-1133.81818181818	4.71751887870557	11107.2788661873	3	0.5	4.50110052381334	2012
-4.7	46.5	180	0	-518.659090909091	4.6585941680453	4703.59793110802	3	1	13.0795859985686	2012
-4.7	46.7	181	0	-165.076271186441	0.248847500326396	7281.34662974789	5	0	19.6697174916542	2012
-4.7	46.9	182	0	-177.842105263158	0.293140938407496	21948.2052469047	3	1	4.56725510112482	2012
-4.7	47.1	183	0	-138.188888888889	0.318617357831034	19050.7243337539	3	1	17.9825519181247	2012
-4.7	47.3	184	0	-114.763440860215	0.26536007746253	33531.8967148448	4	0	19.9726559809304	2012
-4.7	47.5	185	0	-115.581818181818	0.149518559940837	34751.9176709958	4	0	7.58763958224861	2012
-4.7	47.7	186	0	-102.526315789474	0.168587431099201	37018.4041959404	3	0	18.7422327637744	2012
-4.7	47.9	187	0	-31.3225806451613	0.167991285647957	54839.7579346414	3	1	21.089972303989	2012
-4.5	46.1	205	0	-1798.45454545455	7.56769530339675	19243.0672519976	4	1	3.77339515966671	2012
-4.5	46.3	206	0	-932.960396039604	7.2360294077656	7610.09149193847	3	0	18.8547654453314	2012
-4.5	46.5	207	0	-148.336538461538	0.138125995514341	7207.438019423	3	0.5	17.8301206362844	2012
-4.5	46.7	208	0	-148.534482758621	0.145600550294179	10397.7185396232	5	0	7.2676602817614	2012
-4.5	46.9	209	0	-198.508196721311	0.97670327081177	2807.42025182843	5	0	16.223898196854	2012
-4.5	47.1	210	0	-120.418181818182	0.126530901207165	22156.3186161895	3	0	6.29809107270494	2012
-4.5	47.3	211	0	-116.887096774194	0.0956457239245215	32201.9625345133	4.5	0	14.5243656270801	2012
-4.5	47.5	212	0	-103.954198473282	0.088985122854018	47774.7300411101	4	0	31.1017418075588	2012
-4.5	47.7	213	0	-69.0263157894737	0.216254019864688	51936.7653925968	3	0	10.6630208863822	2012
-4.5	47.9	214	0	-37.7967479674797	0.287706187494644	61559.3929369703	3	1	48.0251675720814	2012
-4.3	45.9	231	0	-2938.16666666667	11.6396144231161	26292.0060832904	5	0	5.47961364207614	2012
-4.3	46.1	232	0	-1534.9512195122	9.32949429605065	11864.9162697958	4	1	18.8163290961527	2012
-4.3	46.3	233	0	-332.846774193548	3.62972939965285	2961.15698403102	4	0	17.0554311016047	2012
-4.3	46.5	234	0	-210.464646464646	2.6048688989396	2264.325447394	3	1	13.4395920425073	2012
-4.3	46.7	235	0	-139.709677419355	0.266048984602094	2393.93887523164	4	0	3.56673238479057	2012
-4.3	46.9	236	0	-174.392523364486	0.740284818215905	3998.29955188603	5	0	19.2799476713561	2012
-4.3	47.1	237	0	-127.173913043478	0.137928647697782	21452.2063963728	4	0	23.608043426833	2012
-4.3	47.3	238	0	-104.505050505051	0.125900807235428	40524.5831661568	4	0	18.3212305282798	2012
-4.3	47.5	239	0	-99.4117647058823	0.132580003938546	56629.7381086863	3	0	6.25525544372176	2012
-4.3	47.7	240	0	-69.0268456375839	0.356514711257995	64909.0828003066	4	0	11.1458669869386	2012
-4.1	45.9	258	0	-1659.11111111111	9.85662194755342	12281.4562445322	4	0	31.089802455884	2012
-4.1	46.1	259	0	-487.026086956522	4.58096580783958	4751.69877527435	3	1	17.9486665156299	2012
-4.1	46.3	260	0	-146.25	0.0792194203688548	9587.46325858854	3	1	8.76063699713955	2012
-4.1	46.5	261	0	-143.475	0.174621027056128	3973.41421132324	3.5	1	11.8706572251787	2012
-4.1	46.7	262	0	-284.384615384615	3.00317021790677	1463.41929716081	3	0	17.2396777753218	2012
-4.1	46.9	263	0	-167	0.503326896245458	5717.66333315187	4	0	9.85609351869575	2012
-4.1	47.1	264	1	-122.80981595092	0.164169641828702	21150.432212685	4	0	45.6008078877815	2012
-4.1	47.3	265	0	-108.853658536585	0.0915827827482689	39199.3742279848	4	0	14.8933509385285	2012
-4.1	47.5	266	0	-95.4626865671642	0.0737360393934286	65443.4826883074	5	0	33.5996110406186	2012
-3.9	45.7	284	0	-1854.87096774194	6.48645180079245	15253.4615100979	3	1	13.9917864393321	2012
-3.9	45.9	285	0	-1300.63291139241	9.95417319822916	8736.56509968261	3	1	17.1051742334462	2012
-3.9	46.1	286	0	-285.196078431373	2.32629067989468	2594.64552137937	4	0	27.8996105445416	2012
-3.9	46.3	287	0	-140.255474452555	0.465508100814628	6635.70143618275	3	1	20.7075884056725	2012
-3.9	46.5	288	0	-159.953271028037	1.39425585058596	1767.49181245087	4	1	17.3026736047549	2012
-3.9	46.7	289	0	-258.372340425532	0.96924089481856	4130.24229546853	3.5	0	17.2077013111204	2012
-3.9	46.9	290	0	-137.51094890511	0.596562830255414	7227.19628782413	3	1	41.6813838954055	2012
-3.9	47.1	291	0	-107.56204379562	0.143886517039942	29272.700609515	3	0	48.5637823962853	2012
-3.9	47.3	292	0	-98.65625	0.0595430740067968	50456.4411206735	4	0	43.2223443847446	2012
-3.9	47.5	293	0	-87.7058823529412	0.118771232828936	70181.6457518629	3	1	25.5772940467471	2012
-3.9	47.7	294	0	-43.3886255924171	0.261452090021629	89116.0190105389	4	0	28.2826000185592	2012
